title,url,thumbnail,color
Jaz Karis - Petty Lover | A COLORS SHOW,https://www.youtube.com/watch?v=6zMgQMEqga8&pp=0gcJCTwKAYcqIYzv,https://i.ytimg.com/vi/6zMgQMEqga8/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCVFbkT9ht0aEa5NOyzDj1EmZUeTA,#eb7c61
Tertia May - Monsters In Your Bedroom | A COLORS SHOW,https://www.youtube.com/watch?v=lgyDJDYUBws,https://i.ytimg.com/vi/lgyDJDYUBws/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDmfVMcDlvt5P7GghzwB7sMsLIw0w,#8ab7a0
DUCKWRTH - THROWYOASSOUT | A COLORS SHOW,https://www.youtube.com/watch?v=9f4oQfAyQ4k,https://i.ytimg.com/vi/9f4oQfAyQ4k/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC-Kz0vMg77sGeuyL9QGgH0ZJIcBw,#b98703
Oscar Jerome - Do You Really | A COLORS SHOW,https://www.youtube.com/watch?v=Llw3ETj6p9U,https://i.ytimg.com/vi/Llw3ETj6p9U/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB0HWtzs3RjFDPjXRdO-k7eXze4Ng,#7fc3ae
Jamie Isaac - Doing Better | A COLORS SHOW,https://www.youtube.com/watch?v=11bs6hF_ZVc,https://i.ytimg.com/vi/11bs6hF_ZVc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD52ZMV1dxEexrpA9VSlhju3f_ppA,#bf752c
CHATON - Monde Entier | A COLORS SHOW,https://www.youtube.com/watch?v=ltcnkdUAssQ,https://i.ytimg.com/vi/ltcnkdUAssQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBUEhfrP-tWMhSmAq8Oezd5m-7gVQ,#c4c4c4
Dezmond - Want It All | A COLORS SHOW,https://www.youtube.com/watch?v=Pd9_ck5IUWU,https://i.ytimg.com/vi/Pd9_ck5IUWU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCU64fA3ffsfXQaMrPIBw7LOQ-DbA,#81a2b1
Winston Surfshirt - For Real | A COLORS SHOW,https://www.youtube.com/watch?v=KmgbEXsXgdc,https://i.ytimg.com/vi/KmgbEXsXgdc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDHP1GjRdWoAVqHh5pbUYEHzz8Svg,#e2b347
VanJess - Addicted | A COLORS SHOW,https://www.youtube.com/watch?v=89W5E2Mrnxk,https://i.ytimg.com/vi/89W5E2Mrnxk/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDl9-9jdjME2CZ7wDOVU15EXJagzQ,#356076
Ichon - Série B | A COLORS SHOW,https://www.youtube.com/watch?v=D7De-2hxIk0&pp=0gcJCTwKAYcqIYzv,https://i.ytimg.com/vi/D7De-2hxIk0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCinqncRHDDqmupr0tmyglwqihCYg,#6f6d7a
Dave B - David | A COLORS SHOW,https://www.youtube.com/watch?v=sJZN1zFU5AE,https://i.ytimg.com/vi/sJZN1zFU5AE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD_QAeqfcFwlUNVWWHJdOjT-OhRTA,#845960
Mabel - Ivy | A COLORS SHOW,https://www.youtube.com/watch?v=8jr_zoRpt6o,https://i.ytimg.com/vi/8jr_zoRpt6o/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAHL9Ke4L9V5onNka-dbwQw25YbpQ,#b198ad
Ravyn Lenae - Sticky | A COLORS SHOW,https://www.youtube.com/watch?v=Z6tdOYT4Ass,https://i.ytimg.com/vi/Z6tdOYT4Ass/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCMXBWldPLOC1HKTOucy0JjS4kT9w,#95342e
slowthai - Ladies | A COLORS SHOW,https://www.youtube.com/watch?v=EZmFcfDPa_k,https://i.ytimg.com/vi/EZmFcfDPa_k/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCSOTTG7wMmkT3mIw505ou6YR8PjA,#896543
Giggs - The Essence | A COLORS SHOW,https://www.youtube.com/watch?v=-K3qpAePNEw,https://i.ytimg.com/vi/-K3qpAePNEw/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBQ9dU0XwYnHCBpO_I-0yrV7LnCMg,#6c959b
Denzel Himself - Melty ft. KEYAH/BLU | A COLORS SHOW,https://www.youtube.com/watch?v=iIXYL2zmn2I&pp=0gcJCTwKAYcqIYzv,https://i.ytimg.com/vi/iIXYL2zmn2I/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDwx5Se3TotnkdF2M22gmy77QXW8Q,#1d28a6
Anna Leone - Wandered Away | A COLORS SHOW,https://www.youtube.com/watch?v=YHCFO038dy4,https://i.ytimg.com/vi/YHCFO038dy4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAqfLTKqPK98vjK9VTQdU3MMCX72Q,#d8bf87
James Bambu - Succulent | A COLORS SHOW,https://www.youtube.com/watch?v=Tnf-hWgtICg,https://i.ytimg.com/vi/Tnf-hWgtICg/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCv0ku-nWMajFUwUo3a7HeW9GVOoA,#a4c1a3
Mavi Phoenix - Yellow | A COLORS SHOW,https://www.youtube.com/watch?v=84G_O7d29Xo&pp=0gcJCTwKAYcqIYzv,https://i.ytimg.com/vi/84G_O7d29Xo/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBa8aX1AJTB8_FCq2BdrxuBmBHqEg,#5cb6ad
Jorja Smith - Blue Lights | A COLORS SHOW,https://www.youtube.com/watch?v=fYwRsJAPfec,https://i.ytimg.com/vi/fYwRsJAPfec/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC3l_5uKRNNaJDlpucAHdSe3SJW7w,#2a4c67
Sinéad Harnett - Body | A COLORS SHOW,https://www.youtube.com/watch?v=Cihr9OWsEuk,https://i.ytimg.com/vi/Cihr9OWsEuk/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCSD6t1zjTTWLyVFMngg8Dk8R9yuw,#8f8fa7
Trettmann - New York | A COLORS SHOW,https://www.youtube.com/watch?v=vCwKgEFSsyI,https://i.ytimg.com/vi/vCwKgEFSsyI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCtm-72UIqN_eg-35PhOm7mVAL1-A,#8f8f8f
Tiana Major9 - Levee (Let It Break) | A COLORS SHOW,https://www.youtube.com/watch?v=b4V7ttON8cs,https://i.ytimg.com/vi/b4V7ttON8cs/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDCS7CmBRsVzTLU_wFp68q3dbTa7w,#f1c622
Billie Eilish - idontwannabeyouanymore | UN SHOW DE COLORS,https://www.youtube.com/watch?v=DSbqyWXVDYg,https://i.ytimg.com/vi/DSbqyWXVDYg/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDosg9W0lW4jR49DRJmCGqBqKe5nw,#96c1b8
Her - Five Minutes | A COLORS SHOW,https://www.youtube.com/watch?v=lF3KWYpXWCA,https://i.ytimg.com/vi/lF3KWYpXWCA/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDDZBu3It2gYJfhCL7hIqbYiiAv1w,#c38f91
Jerome Thomas  - 1989 (prod. Warren Xclnce) | A COLORS SHOW,https://www.youtube.com/watch?v=btGYfStLRuw,https://i.ytimg.com/vi/btGYfStLRuw/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB1zqE7JMMQtyUhBKmVOe6xq9ia8Q,#682f1e
Serious Klein - 91 Flex | A COLORS SHOW,https://www.youtube.com/watch?v=nV883rnogtM,https://i.ytimg.com/vi/nV883rnogtM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC7g4bBN6xtEb3O_pNG-cCm3FYccw,#316269
NoMBe - Freak Like Me | A COLORS SHOW,https://www.youtube.com/watch?v=wvEuY4aSbHU,https://i.ytimg.com/vi/wvEuY4aSbHU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB0kSDVR3Qqb68NO0zzPoeiB-qVOQ,#d599a5
Cleo Sol - Why Don't You | A COLORS SHOW,https://www.youtube.com/watch?v=kXUtOoNUOzE,https://i.ytimg.com/vi/kXUtOoNUOzE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDhFtO1FeFVMcU0SyS5WkEa45OSRw,#f0d4bc
Crack Ignaz - Oder ned | A COLORS SHOW,https://www.youtube.com/watch?v=m4LNtFsL85k,https://i.ytimg.com/vi/m4LNtFsL85k/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBKUB-X-ELVihfn3HXqDC0TLtHUlA,#7c4e8f
Token - Doozey/Little Boy | A COLORS SHOW,https://www.youtube.com/watch?v=qDJ5wNaZbx4,https://i.ytimg.com/vi/qDJ5wNaZbx4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAdhbHF05I5pGH2jnJYAkdweiHHPg,#3c0bc7
Joyce Wrice - Good Morning | A COLORS SHOW,https://www.youtube.com/watch?v=OOSP4OV1dfc,https://i.ytimg.com/vi/OOSP4OV1dfc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA1FYelG9lm0UJDjZmBudYbK_b2JQ,#577484
Joy Crookes - Mother May I Sleep With Danger? | A COLORS SHOW,https://www.youtube.com/watch?v=xuTDKlyXbQg,https://i.ytimg.com/vi/xuTDKlyXbQg/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBICK73Wi97QvutpR7mEmWay4TIsA,#b2784a
Aminé - Yellow | A COLORS SHOW,https://www.youtube.com/watch?v=j_-2dUvlEdY,https://i.ytimg.com/vi/j_-2dUvlEdY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCUcTTYaiNv8NvjPi3fgNoapslyCg,#f9d827
BRKN - Bordeaux | A COLORS SHOW,https://www.youtube.com/watch?v=gGdd1DBsrOo,https://i.ytimg.com/vi/gGdd1DBsrOo/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCekrI7ujZXNgna75XPVBQwaQO8kw,#542327
Joel Culpepper - Woman | A COLORS SHOW,https://www.youtube.com/watch?v=02zrnpyUdVo,https://i.ytimg.com/vi/02zrnpyUdVo/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBGpWgwE67-Bf6Sq8hb9graj4d1jw,#602f32
Sampa The Great - Rhymes To The East | A COLORS SHOW,https://www.youtube.com/watch?v=MddG0quhiFY,https://i.ytimg.com/vi/MddG0quhiFY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCV1ZfpcrHuIObViU3esc1irOUw7Q,#e08e5f
Sway Clarke - Either Way | A COLORS SHOW,https://www.youtube.com/watch?v=sRSJ2FIaQ8E,https://i.ytimg.com/vi/sRSJ2FIaQ8E/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCaO5EYJq6Hw_RQ3Z-ei_3iV6IPjQ,#3c9bad
Eliza - Wasn´t Looking | A COLORS SHOW,https://www.youtube.com/watch?v=0nplzEY0IXA,https://i.ytimg.com/vi/0nplzEY0IXA/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA0Rt6YJ6piDtjVyDr1OXwPcVshVA,#97528b
Noah Slee - Lips | A COLORS SHOW,https://www.youtube.com/watch?v=paP-tGZBP9g&pp=0gcJCTwKAYcqIYzv,https://i.ytimg.com/vi/paP-tGZBP9g/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC4a5I6KvOnC0-McciP5WEakmwCkA,#835d48
Kareem Kalokoh - Whip Game | A COLORS SHOW,https://www.youtube.com/watch?v=tR6Cyp3lK48,https://i.ytimg.com/vi/tR6Cyp3lK48/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLACbyafUBCEI-bXe0mjkkcrvVJHUQ,#dcad5b
Col3trane - Penelope | A COLORS SHOW,https://www.youtube.com/watch?v=8vvIG2nEJjM,https://i.ytimg.com/vi/8vvIG2nEJjM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBVSkk5C5SU5EAdXNzKM7S1U92JYQ,#918d82
Saba - There You Go | A COLORS SHOW,https://www.youtube.com/watch?v=yH7et-oIdNk,https://i.ytimg.com/vi/yH7et-oIdNk/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDQkyZKCXX1mcqpx0n28k_c4PD85w,#cdaf3f
Mac Demarco - Still Beating | A COLORS SHOW,https://www.youtube.com/watch?v=vpp1HXpDdIM&pp=0gcJCTwKAYcqIYzv,https://i.ytimg.com/vi/vpp1HXpDdIM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAuFS8mKD9DX7zW8-K6tMtJ9dpTtQ,#6b8886
Hamza - 1994 | A COLORS SHOW,https://www.youtube.com/watch?v=NOb315lCX-8,https://i.ytimg.com/vi/NOb315lCX-8/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCFwKJ7DurMDblhIxpT1V5Z1bsfQg,#a94b41
